date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:53:06	315/315	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2017%20Jan%202023%2012:53:06%20GMT	https://testportal.zalaris.com/robots.txt		(from )
07:53:08	250/250	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2017%20Jan%202023%2012:53:08%20GMT	https://testportal.zalaris.com/	/home/kali/websites/TP/testportal.zalaris.com/index.html	(from )
07:53:10	0/0	---M--	307	error ('Temporary%20Redirect')	text/html	date:Tue,%2017%20Jan%202023%2012:53:10%20GMT	https://testportal.zalaris.com/ep/redirect	/home/kali/websites/TP/testportal.zalaris.com/ep/redirect.0.delayed	(from https://testportal.zalaris.com/)
07:53:12	7375/7375	---MCZ	200	added ('OK')	text/html	date:Tue,%2017%20Jan%202023%2012:53:12%20GMT	https://testportal.zalaris.com/nea/v1/authenticate?neaRelayState=ZHQPORTAL%3ahttps%3a%2f%2ftestportal.zalaris.com%2fep%2fredirect	/home/kali/websites/TP/testportal.zalaris.com/nea/v1/hpb60f4.html	(from https://testportal.zalaris.com/)
07:53:14	17/17	---M--	200	added ('OK')	text/css	date:Wed,%2007%20Sep%202022%2010:40:21%20GMT	https://testportal.zalaris.com/zalaris_logon_2fa/css/misc_logon.css	/home/kali/websites/TP/testportal.zalaris.com/zalaris_logon_2fa/css/misc_logon.css	(from https://testportal.zalaris.com/nea/v1/authenticate?neaRelayState=ZHQPORTAL%3ahttps%3a%2f%2ftestportal.zalaris.com%2fep%2fredirect)
07:53:14	1850/1850	---M-Z	403	error ('Forbidden')	text/html	date:Tue,%2017%20Jan%202023%2012:53:14%20GMT	https://testportal.zalaris.com/zalaris_logon_2fa/	/home/kali/websites/TP/testportal.zalaris.com/zalaris_logon_2fa/index.html	(from https://testportal.zalaris.com/nea/v1/authenticate?neaRelayState=ZHQPORTAL%3ahttps%3a%2f%2ftestportal.zalaris.com%2fep%2fredirect)
07:53:17	86927/86927	---M-Z	200	added ('OK')	application/javascript	etag:W/%2262f659d6-1538f%22	http://code.jquery.com/jquery-3.3.1.min.js	/home/kali/websites/TP/code.jquery.com/jquery-3.3.1.min.js	(from https://testportal.zalaris.com/nea/v1/authenticate?neaRelayState=ZHQPORTAL%3ahttps%3a%2f%2ftestportal.zalaris.com%2fep%2fredirect)
07:53:17	11421/11421	---M-Z	200	added ('OK')	application/javascript	etag:W/%2262f659d6-2c9d%22	http://code.jquery.com/jquery-migrate-3.0.1.min.js	/home/kali/websites/TP/code.jquery.com/jquery-migrate-3.0.1.min.js	(from https://testportal.zalaris.com/nea/v1/authenticate?neaRelayState=ZHQPORTAL%3ahttps%3a%2f%2ftestportal.zalaris.com%2fep%2fredirect)
07:53:18	2467/2467	---M-Z	200	added ('OK')	application/x-javascript	date:Wed,%2007%20Sep%202022%2010:40:21%20GMT	https://testportal.zalaris.com/zalaris_logon_2fa/css/script_201907.js	/home/kali/websites/TP/testportal.zalaris.com/zalaris_logon_2fa/css/script_201907.js	(from https://testportal.zalaris.com/nea/v1/authenticate?neaRelayState=ZHQPORTAL%3ahttps%3a%2f%2ftestportal.zalaris.com%2fep%2fredirect)
07:53:19	6205/6205	---M-Z	200	added ('OK')	text/css	date:Wed,%2007%20Sep%202022%2010:40:21%20GMT	https://testportal.zalaris.com/zalaris_logon_2fa/css/login_201907.css	/home/kali/websites/TP/testportal.zalaris.com/zalaris_logon_2fa/css/login_201907.css	(from https://testportal.zalaris.com/nea/v1/authenticate?neaRelayState=ZHQPORTAL%3ahttps%3a%2f%2ftestportal.zalaris.com%2fep%2fredirect)
07:53:21	8896/8896	---M--	200	added ('OK')	image/png	date:Wed,%2007%20Sep%202022%2010:40:21%20GMT	https://testportal.zalaris.com/zalaris_logon_2fa/css/img/favicons/apple-touch-icon.png	/home/kali/websites/TP/testportal.zalaris.com/zalaris_logon_2fa/css/img/favicons/apple-touch-icon.png	(from https://testportal.zalaris.com/nea/v1/authenticate?neaRelayState=ZHQPORTAL%3ahttps%3a%2f%2ftestportal.zalaris.com%2fep%2fredirect)
07:53:22	1770/1770	---M--	200	added ('OK')	image/png	date:Wed,%2007%20Sep%202022%2010:40:21%20GMT	https://testportal.zalaris.com/zalaris_logon_2fa/css/img/favicons/favicon-32x32.png	/home/kali/websites/TP/testportal.zalaris.com/zalaris_logon_2fa/css/img/favicons/favicon-32x32.png	(from https://testportal.zalaris.com/nea/v1/authenticate?neaRelayState=ZHQPORTAL%3ahttps%3a%2f%2ftestportal.zalaris.com%2fep%2fredirect)
